"Issue Key","Title","Description","Priority","Status","Assignee","Estimate (days)","Sprint","Labels","Acceptance Criteria"
"KORA-W1-001","Gift webhook idempotency hardening","Prevent duplicate gift inserts and duplicate state transitions on Stripe retries by enforcing uniqueness and safe replay handling","P0","todo","Backend","1.5","Week 1","backend,stripe,webhooks,idempotency","Replaying same webhook event does not change totals; replay test passes on local fixture"
"KORA-W1-002","Gift state transition guardrails","Enforce valid lifecycle transitions only and block invalid transitions with structured errors","P0","todo","Backend","1","Week 1","backend,gifts,lifecycle","Invalid transitions are blocked; admin override leaves traceable audit row"
"KORA-W1-003","Admin integrity card data completeness","Remove empty integrity states and always return deterministic diagnostics structure","P0","todo","Backend + Frontend","1.5","Week 1","admin,integrity,frontend,backend","Integrity section always renders with deterministic structure; empty-db case is informative and non-breaking"
"KORA-W1-004","Funnel instrumentation baseline","Capture first-touch to first-gift event chain with normalized payload contracts","P1","todo","Frontend + Growth","1","Week 1","analytics,growth,instrumentation","Sample session shows expected event sequence; admin/growth endpoint reads counts by 7-day window"
"KORA-W1-005","Checkout validation hard stop (email + inputs)","Prevent avoidable Stripe 400 errors by validating email and required checkout fields before API call","P1","todo","Frontend","0.5","Week 1","checkout,frontend,validation,stripe","Invalid email never reaches checkout endpoint; user sees actionable inline error"
"KORA-W1-006","Mobile CTA crowding pass","Improve small-screen action layout and tap ergonomics for core action clusters","P1","todo","Frontend","1","Week 1","mobile,ux,frontend","No overlapping/cutoff labels on mobile widths; tap targets meet minimum size expectation"
"KORA-W1-007","Admin crash guard pass","Add resilient loading and error boundaries per admin tab and prevent hook-order regressions","P0","todo","Frontend","1","Week 1","admin,frontend,reliability","No nominal-path tab crashes; error states recover via refresh/retry"
"KORA-W1-008","Baseline smoke script update","Extend smoke routine to cover gift checkout webhook processing memory linkage and admin integrity endpoint","P1","todo","Backend + QA","0.5","Week 1","qa,smoke,backend,ops","Single command verifies core gift pipeline basics before release"
"KORA-W2-001","Checkout error taxonomy and instrumentation","Make checkout failures measurable by normalizing reason codes and emitting checkout_error events","P0","todo","Frontend + Backend","1","Week 2","checkout,analytics,frontend,backend","Every checkout failure has a reason code; admin shows ranked error causes for last 7 days"
"KORA-W2-002","Checkout mobile layout optimization","Reduce mobile drop-off by improving spacing stacking and CTA visibility","P1","todo","Frontend","1","Week 2","checkout,mobile,ux,frontend","No clipped content or overlapping controls on tested widths; mobile completion improves from Week 1 baseline"
"KORA-W2-003","Fee breakdown readability pass","Improve confidence and comprehension in pricing summary with clearer label hierarchy","P1","todo","Frontend","0.75","Week 2","fees,checkout,ux,frontend","Users identify net amount quickly in usability pass; no terminology mismatch between checkout and admin"
"KORA-W2-004","Projection copy and assumption consistency audit","Ensure scenario-based return language and assumption controls are consistent across surfaces","P1","todo","Frontend + Product","0.5","Week 2","projection,copy,frontend,product","No fixed-return language remains; assumption help text matches across pages"
"KORA-W2-005","CTA hierarchy refactor on fund/dashboard mobile","De-crowd action controls by grouping secondary actions and preserving primary action clarity","P1","todo","Frontend","1","Week 2","mobile,dashboard,ux,frontend","Primary action is always obvious; tap misfires reduced in QA walkthrough"
"KORA-W2-006","UX copy standardization (errors + confirmations)","Standardize confirmation and error language and remove technical backend phrasing","P2","todo","Product + Frontend","0.75","Week 2","copy,ux,frontend,product","Copy review passes for touched flows; no raw backend error strings shown to end users"
"KORA-W2-007","Stripe checkout preflight endpoint","Add preflight validation to prevent avoidable checkout session failures","P0","todo","Backend","1","Week 2","stripe,checkout,backend,validation","Invalid requests fail preflight instead of checkout creation; frontend shows specific remediation message"
