Name,Description,Labels,Members,Due Date,Checklist
First-session funnel timestamps,"Add and standardize fund and checkout funnel events with timestamp metadata for share/gift velocity metrics.","growth,analytics,funnel,backend,data","Backend,Data",,"- [ ] New cohorts show valid median time_to_first_share and time_to_first_gift; - [ ] No null fundId for fund-origin funnel events in normal flow"
Guided Launch completion telemetry,"Emit step completion telemetry from Guided Launch and track 48h completion metric.","growth,onboarding,telemetry,frontend","Frontend",,"- [ ] Admin can report Guided Launch step drop-off and completion within 48h"
Checkout friction diagnostics by step,"Track checkout step markers and abandonment before session creation.","checkout,analytics,growth,frontend,backend","Frontend,Backend",,"- [ ] Admin diagnostics include step-level drop-offs; - [ ] Top abandonment step is visible"
Lifecycle nudge queue to visible inbox,"Surface lifecycle-generated activities with clear CTA actions in Activity feed/detail.","lifecycle,activity,nudges,backend,frontend","Backend,Frontend",,"- [ ] Lifecycle activities are visible and actionable; - [ ] No raw snake_case shown to users"
Pricing/entitlement consistency audit,"Unify pricing and entitlement copy across app surfaces and validate overlap/grace states.","pricing,entitlements,copy,product,backend","Product,Backend",,"- [ ] No conflicting pricing copy; - [ ] Starter->Family and Family->Starter states render correctly in Settings"
Fund details completeness in settings,"Extend fund snapshot with recency fields strategy and coverage status plus empty-state guidance.","funds,settings,ux,frontend","Frontend",,"- [ ] Each fund card shows ownership and status without dashboard navigation"
Admin lifecycle signal cards and drill links,"Add drill actions from lifecycle cards to relevant filtered admin views.","admin,lifecycle,growth,frontend,backend","Frontend,Backend",,"- [ ] Each lifecycle card links to useful filtered context view"
Thank-you conversion loop scoring,"Track thank-you action within seven days and expose trend in admin.","thank-you,growth,analytics,product,backend","Product,Backend",,"- [ ] Admin shows thank-you conversion and 7-day trend"
Share-after-gift prompt optimization,"Run post-gift CTA variant test and measure CTR plus downstream checkout starts.","growth,experiments,share,frontend","Growth,Frontend",,"- [ ] Variant reporting exists; - [ ] One winner selected after threshold sample"
Event monetization decision clarity,"Improve Event Boost vs Starter vs Family decision clarity and usage path.","monetization,events,pricing,product,frontend","Product,Frontend",,"- [ ] Multi-fund users understand best purchase path; - [ ] Support confusion decreases"
Unit economics trend panel,"Add 30-day trends for revenue estimated store fees and contribution margin with confidence labels.","admin,unit-economics,revenue,backend,frontend","Backend,Frontend",,"- [ ] Admin shows trend direction; - [ ] Confidence labels are visible"
Retention reactivation outcomes,"Track and report recovery conversion for no_gift_14d lifecycle signals.","retention,lifecycle,data,growth","Growth,Data",,"- [ ] Admin shows recovery rate; - [ ] Sample count is visible by channel where available"
Activity reliability hardening,"Make activity enrichment resilient and prevent hard failures from relational gaps.","activity,reliability,backend","Backend",,"- [ ] Activity page remains functional with partial/missing relational data"
Outbound lifecycle worker,"Build idempotent lifecycle nudge email worker with cooldown and suppression logic.","lifecycle,email,ops,backend","Backend,Ops",,"- [ ] Nudges send once per cooldown window; - [ ] Retries/failures logged safely"
Fund health score,"Compute and expose per-fund A/B/C health score with rationale drill-down.","fund-health,admin,data,frontend","Data,Frontend",,"- [ ] Fund table includes health score; - [ ] Drill-down rationale is available"
Distribution source attribution model,"Normalize source taxonomy and attribute fund creation plus first gift by source.","attribution,growth,backend,data","Growth,Backend",,"- [ ] Admin reports paid vs non-paid source contribution to first gifts and AFRG"
Guided Launch adaptive assistant,"Adapt Guided Launch CTA copy by incomplete step and lifecycle state with resume behavior.","guided-launch,onboarding,ux,product,frontend","Product,Frontend",,"- [ ] Guided Launch completion lifts measurably vs baseline"
Weekly auto scorecard export,"Automate weekly KPI scorecard artifact generation without manual SQL pulls.","scorecard,automation,data,ops","Data,Ops",,"- [ ] Weekly scorecard generated automatically as CSV/JSON artifact"
