Summary,Issue Type,Priority,Status,Assignee,Original Estimate,Description,Labels,Sprint
Gift webhook idempotency hardening,Task,Highest,To Do,Backend,1.5d,"Prevent duplicate gift inserts and duplicate state transitions on Stripe retries by enforcing uniqueness and safe replay handling. Acceptance: Replaying same webhook event does not change totals; replay test passes on local fixture.","backend stripe webhooks idempotency",Week 1
Gift state transition guardrails,Task,Highest,To Do,Backend,1d,"Enforce valid lifecycle transitions only and block invalid transitions with structured errors. Acceptance: Invalid transitions are blocked; admin override leaves traceable audit row.","backend gifts lifecycle",Week 1
Admin integrity card data completeness,Task,Highest,To Do,Backend + Frontend,1.5d,"Remove empty integrity states and always return deterministic diagnostics structure. Acceptance: Integrity section always renders with deterministic structure; empty-db case is informative and non-breaking.","admin integrity frontend backend",Week 1
Funnel instrumentation baseline,Task,High,To Do,Frontend + Growth,1d,"Capture first-touch to first-gift event chain with normalized payload contracts. Acceptance: Sample session shows expected event sequence; admin/growth endpoint reads counts by 7-day window.","analytics growth instrumentation",Week 1
Checkout validation hard stop (email + inputs),Task,High,To Do,Frontend,0.5d,"Prevent avoidable Stripe 400 errors by validating email and required checkout fields before API call. Acceptance: Invalid email never reaches checkout endpoint; user sees actionable inline error.","checkout frontend validation stripe",Week 1
Mobile CTA crowding pass,Task,High,To Do,Frontend,1d,"Improve small-screen action layout and tap ergonomics for core action clusters. Acceptance: No overlapping/cutoff labels on mobile widths; tap targets meet minimum size expectation.","mobile ux frontend",Week 1
Admin crash guard pass,Task,Highest,To Do,Frontend,1d,"Add resilient loading and error boundaries per admin tab and prevent hook-order regressions. Acceptance: No nominal-path tab crashes; error states recover via refresh/retry.","admin frontend reliability",Week 1
Baseline smoke script update,Task,High,To Do,Backend + QA,0.5d,"Extend smoke routine to cover gift checkout, webhook processing, memory linkage, and admin integrity endpoint. Acceptance: Single command verifies core gift pipeline basics before release.","qa smoke backend ops",Week 1
Existing growth plumbing surfacing audit,Task,Highest,To Do,Product + Frontend + Growth,0.5d,"Audit current in-repo growth plumbing for gifting, trials, Memory Book, invitations, events, and age-transition moments, then map each capability to its current surface, missing instrumentation, and missing conversion layer. Sprint objective: surface existing product loops, instrument them properly, improve conversion on top of what is already there, and avoid rebuilding systems that already exist. Acceptance: One audit table exists in-repo showing what already exists versus what is under-exposed, and follow-on tickets are tagged as surface_existing, instrument_existing, or net_new_gap.","growth audit surfacing instrumentation surface_existing instrument_existing",Growth Sprint 1
Gifter to parent conversion loop hardening,Task,Highest,To Do,Frontend + Growth,1d,"Turn gift completion into a clear parent acquisition surface by strengthening the post-gift CTA, keeping brand attribution visible, and instrumenting the path from completed gift to signup start. Acceptance: Gift success state includes visible parent-acquisition CTA above the fold; funnel event chain exists from gift completion to CTA click to signup start.","growth activation gifting plg",Growth Sprint 1
Reverse trial awareness and expiry UX pass,Task,Highest,To Do,Frontend + Growth,1d,"Make existing reverse-trial value obvious before, during, and after the free period. Acceptance: Trial users can always see status and value saved; trial lifecycle events are queryable in growth reporting.","growth monetization trial lifecycle",Growth Sprint 1
Parent signup profiling questions,Task,High,To Do,Frontend + Backend,1.5d,"Capture occasion, child age band, and acquisition source right after account creation, with skip support and analytics. Acceptance: New parents can answer or skip in under 20 seconds; profiling data is available for segmentation.","growth onboarding profiling",Growth Sprint 1
Monetization awareness audit and feature-wall pass,Task,Highest,To Do,Frontend + Growth,1.5d,"Audit all locked paid surfaces and add consistent upgrade framing where missing, prioritizing Memory Book, event customization, multi-fund creation, and advanced child-view features. Acceptance: Every visible paid feature has a clear upgrade explanation and next step.","growth monetization upsell frontend",Growth Sprint 1
Onboarding email and in-app nudge map,Task,High,To Do,Growth + Lifecycle,1d,"Define the first 14 days of post-signup activation messaging across email and in-app nudges, mapping each to triggers, audience, CTA, and owner. Acceptance: Lifecycle map exists in-repo and missing implementation dependencies are called out explicitly.","growth lifecycle onboarding",Growth Sprint 1
Post-event summary and next-occasion prompt,Task,High,To Do,Frontend + Backend,1.5d,"Create a completed-event summary state with total raised, gifter count, investment destination summary, and a clear next action. Acceptance: Completed events surface a summary and parents have one obvious next step.","growth retention events",Growth Sprint 1
Memory Book milestone share pass,Task,High,To Do,Frontend + Growth,1d,"Add share prompts for milestone-worthy Memory Book states such as first gift, anniversaries, and fund milestones, and track prompt exposure and completion. Acceptance: Parents can share at least three milestone states without manual copywriting; reporting distinguishes Memory Book shares from generic fund shares.","growth sharing memory-book",Growth Sprint 1
Trust messaging rewrite in human language,Task,High,To Do,Frontend + Content,0.5d,"Rewrite core trust surfaces to lead with plain-language outcomes before legal mechanism detail. Acceptance: Homepage, security, checkout, and pricing trust copy lead with user-understandable language while preserving legal accuracy.","growth trust copy",Growth Sprint 1
Child not on Kado acquisition surface,Task,High,To Do,Frontend + Growth,0.5d,"Promote the existing invitation-request path as an explicit acquisition loop in gifting entry points. Acceptance: New gifters can discover the path easily and invite-request conversion is measurable.","growth acquisition gifting",Growth Sprint 1
Growth dashboard metric expansion,Task,Highest,To Do,Backend + Growth,1d,"Expand growth reporting to include gifter-to-parent CTA clicks, signup profiling completion, reverse-trial visibility and conversion, Memory Book milestone shares, and event summary views. Acceptance: Growth dashboard or endpoint exposes the new loop metrics for a rolling 30-day view and metric definitions are documented.","growth analytics backend",Growth Sprint 1
