"Name","Description","Labels","Members","Due Date","Checklist"
"Gift webhook idempotency hardening","Prevent duplicate gift inserts and duplicate state transitions on Stripe retries by enforcing uniqueness and safe replay handling.","backend,stripe,webhooks,idempotency","Backend","","- [ ] Replaying same webhook event does not change totals; - [ ] Replay test passes on local fixture"
"Gift state transition guardrails","Enforce valid lifecycle transitions only and block invalid transitions with structured errors.","backend,gifts,lifecycle","Backend","","- [ ] Invalid transitions are blocked; - [ ] Admin override leaves traceable audit row"
"Admin integrity card data completeness","Remove empty integrity states and always return deterministic diagnostics structure.","admin,integrity,frontend,backend","Backend,Frontend","","- [ ] Integrity section always renders with deterministic structure; - [ ] Empty-db case is informative and non-breaking"
"Funnel instrumentation baseline","Capture first-touch to first-gift event chain with normalized payload contracts.","analytics,growth,instrumentation","Frontend,Growth","","- [ ] Sample session shows expected event sequence; - [ ] Admin/growth endpoint reads counts by 7-day window"
"Checkout validation hard stop (email + inputs)","Prevent avoidable Stripe 400 errors by validating email and required checkout fields before API call.","checkout,frontend,validation,stripe","Frontend","","- [ ] Invalid email never reaches checkout endpoint; - [ ] User sees actionable inline error"
"Mobile CTA crowding pass","Improve small-screen action layout and tap ergonomics for core action clusters.","mobile,ux,frontend","Frontend","","- [ ] No overlapping/cutoff labels on mobile widths; - [ ] Tap targets meet minimum size expectation"
"Admin crash guard pass","Add resilient loading and error boundaries per admin tab and prevent hook-order regressions.","admin,frontend,reliability","Frontend","","- [ ] No nominal-path tab crashes; - [ ] Error states recover via refresh/retry"
"Baseline smoke script update","Extend smoke routine to cover gift checkout, webhook processing, memory linkage, and admin integrity endpoint.","qa,smoke,backend,ops","Backend,QA","","- [ ] Single command verifies core gift pipeline basics before release"
"Checkout error taxonomy and instrumentation","Make checkout failures measurable by normalizing reason codes and emitting checkout_error events.","checkout,analytics,frontend,backend","Frontend,Backend","","- [ ] Every checkout failure has a reason code; - [ ] Admin shows ranked error causes for last 7 days"
"Checkout mobile layout optimization","Reduce mobile drop-off by improving spacing, stacking, and CTA visibility.","checkout,mobile,ux,frontend","Frontend","","- [ ] No clipped content or overlapping controls on tested widths; - [ ] Mobile completion improves from Week 1 baseline"
"Fee breakdown readability pass","Improve confidence and comprehension in pricing summary with clearer label hierarchy.","fees,checkout,ux,frontend","Frontend","","- [ ] Users identify net amount quickly in usability pass; - [ ] No terminology mismatch between checkout and admin"
"Projection copy and assumption consistency audit","Ensure scenario-based return language and assumption controls are consistent across surfaces.","projection,copy,frontend,product","Frontend,Product","","- [ ] No fixed-return language remains; - [ ] Assumption help text matches across pages"
"CTA hierarchy refactor on fund/dashboard mobile","De-crowd action controls by grouping secondary actions and preserving primary action clarity.","mobile,dashboard,ux,frontend","Frontend","","- [ ] Primary action is always obvious; - [ ] Tap misfires reduced in QA walkthrough"
"UX copy standardization (errors + confirmations)","Standardize confirmation and error language and remove technical backend phrasing.","copy,ux,frontend,product","Frontend,Product","","- [ ] Copy review passes for touched flows; - [ ] No raw backend error strings shown to end users"
"Stripe checkout preflight endpoint","Add preflight validation to prevent avoidable checkout session failures.","stripe,checkout,backend,validation","Backend","","- [ ] Invalid requests fail preflight instead of checkout creation; - [ ] Frontend shows specific remediation message"
"Baseline conversion dashboard and report","Publish weekly conversion scorecard with starts, completes, failure reasons, and device split.","growth,analytics,reporting,data","Growth,Data","","- [ ] Week 2 scorecard published and repeatable; - [ ] Rates tie back to tracked events"
"Gift to Memory linkage contract tests","Guarantee successful gifts always create or attach a memory entry.","backend,memory,webhooks,qa","Backend","","- [ ] Contract test passes for gift success path; - [ ] No new Gifts Missing Memory in 7-day diagnostics"
"Memory Book media rendering hardening","Ensure text, image, and video entries render predictably on web and mobile.","frontend,memory,media,mobile","Frontend","","- [ ] No media rendering crashes; - [ ] Fallback states shown for invalid media URLs"
"Thank-you workflow status model","Implement explicit thank-you lifecycle states and retry handling.","thank-you,backend,frontend,workflow","Backend,Frontend","","- [ ] Status visible in UI and admin diagnostics; - [ ] Failed sends are retryable"
"Gift success page data accuracy pass","Ensure confirmation reflects real amount and execution model.","gift-success,frontend,accuracy","Frontend","","- [ ] No $0 confirmations for paid gifts; - [ ] Stock-pick gifts show chosen ticker where applicable"
"Memory Book cross-linking from gifts","Add direct navigation from gift rows to related memory entries.","memory,frontend,gifts,navigation","Frontend","","- [ ] Gift row includes View memory when linked; - [ ] Link opens correct memory entry"
"Thank-you CTA placement optimization","Improve thank-you completion by better CTA positioning.","ux,product,frontend,thank-you","Frontend,Product","","- [ ] CTA present in memory and gift detail contexts; - [ ] Thank-you action rate improves from Week 2 baseline"
"Admin diagnostics for thank-you gaps","Surface missing thank-you records with drill-down and export.","admin,diagnostics,thank-you,backend,frontend","Backend,Frontend","","- [ ] Metric links to affected gifts; - [ ] Drill-down supports CSV export"
"Week 3 loop scorecard","Publish weekly loop health report for memory and thank-you completion.","growth,data,reporting,loops","Growth,Data","","- [ ] Weekly report includes trend and deltas; - [ ] Shared in Friday cadence"
"Admin KPI card click-through filters","Enable KPI cards to open filtered datasets that explain displayed metrics.","admin,frontend,filters,kpi","Frontend","","- [ ] Every top KPI card opens filtered records matching displayed metric"
"User detail panel expansion","Add complete user-level admin detail context including funds, gifts, subscription, and transactions.","admin,users,backend,frontend","Backend,Frontend","","- [ ] User detail includes funds gifts subscription and recent transactions"
"Fund detail panel expansion","Add complete fund-level admin detail context including holdings and gift timeline.","admin,funds,backend,frontend","Backend,Frontend","","- [ ] Fund detail includes holdings mix gifts timeline and pending vs invested split"
"Gifter profile detail page","Add deep gifter profile with lifetime contribution behavior.","admin,gifters,backend,frontend","Backend,Frontend","","- [ ] Gifter detail shows lifetime gross/net gift frequency and recipient breakdown"
"CSV parity across tabs","Standardize CSV exports across all major admin tabs.","admin,csv,exports,frontend","Frontend","","- [ ] Users Funds Assets Gifters Gifts Transactions all export with consistent columns"
"Admin action safeguards + audit","Add confirmation and audit logging for sensitive admin actions.","admin,audit,safety,backend,frontend","Backend,Frontend","","- [ ] Destructive actions require confirmation; - [ ] Actions generate audit entries"
"Config tab safe editing UX","Improve config editing flow with validation and explicit errors.","admin,config,frontend,validation","Frontend","","- [ ] Universe and strategy edits validate before save; - [ ] Clear errors shown"
"Week 4 admin ops scorecard","Publish weekly admin operations quality report.","ops,data,reporting,admin","Ops,Data","","- [ ] Report includes tab reliability export usage and action audit volume"
"Attribution source normalization","Normalize source and channel tracking on top acquisition events.","growth,analytics,attribution,backend","Backend,Growth","","- [ ] Top acquisition events include stable source/channel fields"
"Founder content cadence tracker","Track founder content output and downstream traffic impact.","growth,content,founder,reporting","Growth","","- [ ] Weekly dashboard shows founder posts and downstream traffic"
"Creator pilot intake workflow","Create structured creator campaign intake and status workflow.","growth,creator,ops,workflow","Growth,Ops","","- [ ] Creator roster status and campaign links tracked in one place"
"Channel to first-gift conversion report","Report conversion by source channel from visit to first gift.","data,growth,conversion,reporting","Data","","- [ ] Report shows conversion by channel from visit to first gift"
"Share-link UTM propagation","Preserve and propagate UTM params into conversion events.","utm,frontend,backend,attribution","Frontend,Backend","","- [ ] UTM params are preserved and tied to conversion events"
"Gift page referral context module","Display optional campaign source context on gift page.","frontend,gift-page,referral,ux","Frontend","","- [ ] Gift page can display optional campaign/source context cleanly"
"Weekly growth experiment template","Standardize hypothesis and experiment logging process.","growth,process,experiments","Growth","","- [ ] Team uses one standardized template for hypotheses and outcomes"
"Week 5 channel scorecard","Publish weekly channel scorecard with spend and outcome metrics.","growth,data,scorecard,reporting","Growth,Data","","- [ ] Scorecard lists top channels with spend conversion and AFRG impact"
"Host re-engagement reminder engine","Implement reminder triggers for hosts before key gifting windows.","retention,reminders,backend,frontend","Backend,Frontend","","- [ ] Hosts receive targeted reminders before key event windows"
"Repeat gifter prompt flow","Add contextual one-tap flow for prior gifters to gift again.","retention,gifters,frontend,growth","Frontend,Growth","","- [ ] Prior gifters are prompted contextually with one-tap repeat flow"
"12-week cohort retention table","Populate retention table with week and fund-type filters.","cohorts,retention,data,admin","Data,Frontend","","- [ ] Cohort table is populated and filterable by week and fund type"
"AFRG cohort trend panel","Add AFRG trend visualization by cohort start week.","afrg,cohorts,data,admin","Data,Frontend","","- [ ] AFRG trend visible by cohort start week with stable definitions"
"Time-to-first-gift diagnostics","Show median and P75 first-gift timing with week-over-week movement.","diagnostics,data,first-gift","Data","","- [ ] Median and P75 time-to-first-gift shown with weekly movement"
"In-app milestone nudges","Introduce milestone prompts to support retention and re-engagement.","retention,milestones,frontend,product","Frontend,Product","","- [ ] Milestone prompts appear at sensible thresholds and can be dismissed"
"Repeat gifter rate KPI card","Add repeat gifter KPI card with detail drill-down.","admin,kpi,gifters,retention","Frontend","","- [ ] KPI card displays repeat gifter rate with drill-down list"
"Week 6 retention scorecard","Publish weekly retention scorecard with core loop deltas.","growth,data,retention,reporting","Growth,Data","","- [ ] Scorecard includes AFRG repeat gifter rate and time-to-first-gift deltas"
"First-session funnel timestamps","Add and standardize fund and checkout funnel events with timestamp metadata for share/gift velocity metrics.","growth,analytics,funnel,backend,data","Backend,Data","","- [ ] New cohorts show valid median time_to_first_share and time_to_first_gift; - [ ] No null fundId for fund-origin funnel events in normal flow"
"Guided Launch completion telemetry","Emit step completion telemetry from Guided Launch and track 48h completion metric.","growth,onboarding,telemetry,frontend","Frontend","","- [ ] Admin can report Guided Launch step drop-off and completion within 48h"
"Checkout friction diagnostics by step","Track checkout step markers and abandonment before session creation.","checkout,analytics,growth,frontend,backend","Frontend,Backend","","- [ ] Admin diagnostics include step-level drop-offs; - [ ] Top abandonment step is visible"
"Lifecycle nudge queue to visible inbox","Surface lifecycle-generated activities with clear CTA actions in Activity feed/detail.","lifecycle,activity,nudges,backend,frontend","Backend,Frontend","","- [ ] Lifecycle activities are visible and actionable; - [ ] No raw snake_case shown to users"
"Pricing/entitlement consistency audit","Unify pricing and entitlement copy across app surfaces and validate overlap/grace states.","pricing,entitlements,copy,product,backend","Product,Backend","","- [ ] No conflicting pricing copy; - [ ] Starter->Family and Family->Starter states render correctly in Settings"
"Fund details completeness in settings","Extend fund snapshot with recency fields strategy and coverage status plus empty-state guidance.","funds,settings,ux,frontend","Frontend","","- [ ] Each fund card shows ownership and status without dashboard navigation"
"Admin lifecycle signal cards and drill links","Add drill actions from lifecycle cards to relevant filtered admin views.","admin,lifecycle,growth,frontend,backend","Frontend,Backend","","- [ ] Each lifecycle card links to useful filtered context view"
"Thank-you conversion loop scoring","Track thank-you action within seven days and expose trend in admin.","thank-you,growth,analytics,product,backend","Product,Backend","","- [ ] Admin shows thank-you conversion and 7-day trend"
"Share-after-gift prompt optimization","Run post-gift CTA variant test and measure CTR plus downstream checkout starts.","growth,experiments,share,frontend","Growth,Frontend","","- [ ] Variant reporting exists; - [ ] One winner selected after threshold sample"
"Event monetization decision clarity","Improve Event Boost vs Starter vs Family decision clarity and usage path.","monetization,events,pricing,product,frontend","Product,Frontend","","- [ ] Multi-fund users understand best purchase path; - [ ] Support confusion decreases"
"Unit economics trend panel","Add 30-day trends for revenue estimated store fees and contribution margin with confidence labels.","admin,unit-economics,revenue,backend,frontend","Backend,Frontend","","- [ ] Admin shows trend direction; - [ ] Confidence labels are visible"
"Retention reactivation outcomes","Track and report recovery conversion for no_gift_14d lifecycle signals.","retention,lifecycle,data,growth","Growth,Data","","- [ ] Admin shows recovery rate; - [ ] Sample count is visible by channel where available"
"Activity reliability hardening","Make activity enrichment resilient and prevent hard failures from relational gaps.","activity,reliability,backend","Backend","","- [ ] Activity page remains functional with partial/missing relational data"
"Outbound lifecycle worker","Build idempotent lifecycle nudge email worker with cooldown and suppression logic.","lifecycle,email,ops,backend","Backend,Ops","","- [ ] Nudges send once per cooldown window; - [ ] Retries/failures logged safely"
"Fund health score","Compute and expose per-fund A/B/C health score with rationale drill-down.","fund-health,admin,data,frontend","Data,Frontend","","- [ ] Fund table includes health score; - [ ] Drill-down rationale is available"
"Distribution source attribution model","Normalize source taxonomy and attribute fund creation plus first gift by source.","attribution,growth,backend,data","Growth,Backend","","- [ ] Admin reports paid vs non-paid source contribution to first gifts and AFRG"
"Guided Launch adaptive assistant","Adapt Guided Launch CTA copy by incomplete step and lifecycle state with resume behavior.","guided-launch,onboarding,ux,product,frontend","Product,Frontend","","- [ ] Guided Launch completion lifts measurably vs baseline"
