Issue Key,Title,Description,Priority,Status,Assignee,Estimate (days),Sprint,Labels,Acceptance Criteria
KORA-GROWTH-P0-001,First-session funnel timestamps,"Add and standardize fund and checkout funnel events with timestamp metadata for share/gift velocity metrics.",P0,todo,Backend + Data,1.5,Growth Pack,"growth,analytics,funnel,backend,data","New cohorts show valid median time_to_first_share and time_to_first_gift; no null fundId for fund-origin funnel events in normal flow"
KORA-GROWTH-P0-002,Guided Launch completion telemetry,Emit step completion telemetry from Guided Launch and track 48h completion metric.,P0,todo,Frontend,1,Growth Pack,"growth,onboarding,telemetry,frontend","Admin can report Guided Launch step drop-off and completion within 48h"
KORA-GROWTH-P0-003,Checkout friction diagnostics by step,Track checkout step markers and abandonment before session creation.,P0,todo,Frontend + Backend,1,Growth Pack,"checkout,analytics,growth,frontend,backend","Admin diagnostics include step-level drop-offs and top abandonment step"
KORA-GROWTH-P0-004,Lifecycle nudge queue to visible inbox,Surface lifecycle-generated activities with clear CTA actions in Activity feed/detail.,P0,todo,Backend + Frontend,1.5,Growth Pack,"lifecycle,activity,nudges,backend,frontend","Lifecycle activities are visible and actionable; no raw snake_case shown to users"
KORA-GROWTH-P0-005,Pricing/entitlement consistency audit,Unify pricing and entitlement copy across app surfaces and validate overlap/grace states.,P0,todo,Product + Backend,1.5,Growth Pack,"pricing,entitlements,copy,product,backend","No conflicting pricing copy; Starter->Family and Family->Starter states render correctly in Settings"
KORA-GROWTH-P0-006,Fund details completeness in settings,Extend fund snapshot with recency fields strategy and coverage status plus empty-state guidance.,P0,todo,Frontend,1,Growth Pack,"funds,settings,ux,frontend","Each fund card shows ownership and status without dashboard navigation"
KORA-GROWTH-P0-007,Admin lifecycle signal cards and drill links,Add drill actions from lifecycle cards to relevant filtered admin views.,P0,todo,Admin Frontend + Backend,1,Growth Pack,"admin,lifecycle,growth,frontend,backend","Each lifecycle card links to a useful filtered context view"
KORA-GROWTH-P1-001,Thank-you conversion loop scoring,Track thank-you action within seven days and expose trend in admin.,P1,todo,Product + Backend,1,Growth Pack,"thank-you,growth,analytics,product,backend","Admin shows thank-you conversion and 7-day trend"
KORA-GROWTH-P1-002,Share-after-gift prompt optimization,Run post-gift CTA variant test and measure CTR plus downstream checkout starts.,P1,todo,Growth + Frontend,1,Growth Pack,"growth,experiments,share,frontend","Variant reporting exists and one winner is selected after threshold sample"
KORA-GROWTH-P1-003,Event monetization decision clarity,Improve Event Boost vs Starter vs Family decision clarity and usage path.,P1,todo,Product + Frontend,1,Growth Pack,"monetization,events,pricing,product,frontend","Multi-fund users understand best purchase path; support confusion decreases"
KORA-GROWTH-P1-004,Unit economics trend panel,Add 30-day trends for revenue estimated store fees and contribution margin with confidence labels.,P1,todo,Backend + Admin Frontend,1.25,Growth Pack,"admin,unit-economics,revenue,backend,frontend","Admin shows trend direction and confidence not only point-in-time values"
KORA-GROWTH-P1-005,Retention reactivation outcomes,Track and report recovery conversion for no_gift_14d lifecycle signals.,P1,todo,Growth + Data,1,Growth Pack,"retention,lifecycle,data,growth","Admin shows reactivation recovery rate and sample count by channel where available"
KORA-GROWTH-P1-006,Activity reliability hardening,Make activity enrichment resilient and prevent hard failures from relational gaps.,P1,todo,Backend,1,Growth Pack,"activity,reliability,backend","Activity page remains functional with partial or missing relational data"
KORA-GROWTH-P2-001,Outbound lifecycle worker,Build idempotent lifecycle nudge email worker with cooldown and suppression logic.,P2,todo,Backend + Ops,2,Growth Pack,"lifecycle,email,ops,backend","Email nudges send once per cooldown window with safe retry/failure logs"
KORA-GROWTH-P2-002,Fund health score,Compute and expose per-fund A/B/C health score with rationale drill-down.,P2,todo,Data + Admin Frontend,1.5,Growth Pack,"fund-health,admin,data,frontend","Admin fund table shows health score with explainable rationale"
KORA-GROWTH-P2-003,Distribution source attribution model,Normalize source taxonomy and attribute fund creation plus first gift by source.,P2,todo,Growth + Backend,1.5,Growth Pack,"attribution,growth,backend,data","Admin reports paid vs non-paid source contribution to first gifts and AFRG"
KORA-GROWTH-P2-004,Guided Launch adaptive assistant,Adapt Guided Launch CTA copy by incomplete step and lifecycle state with resume behavior.,P2,todo,Product + Frontend,1.5,Growth Pack,"guided-launch,onboarding,ux,product,frontend","Guided Launch completion lifts measurably vs baseline"
KORA-GROWTH-P2-005,Weekly auto scorecard export,Automate weekly KPI scorecard artifact generation without manual SQL pulls.,P2,todo,Data + Ops,1.25,Growth Pack,"scorecard,automation,data,ops","Weekly scorecard is generated automatically as CSV or JSON artifact"
