Summary,Issue Type,Priority,Status,Assignee,Original Estimate,Description,Labels,Sprint
First-session funnel timestamps,Task,Highest,To Do,Backend + Data,1.5d,"Add and standardize fund and checkout funnel events with timestamp metadata for share/gift velocity metrics. Acceptance: New cohorts show valid median time_to_first_share and time_to_first_gift; no null fundId for fund-origin funnel events in normal flow.","growth analytics funnel backend data",Growth Pack
Guided Launch completion telemetry,Task,Highest,To Do,Frontend,1d,"Emit step completion telemetry from Guided Launch and track 48h completion metric. Acceptance: Admin can report Guided Launch step drop-off and completion within 48h.","growth onboarding telemetry frontend",Growth Pack
Checkout friction diagnostics by step,Task,Highest,To Do,Frontend + Backend,1d,"Track checkout step markers and abandonment before session creation. Acceptance: Admin diagnostics include step-level drop-offs and top abandonment step.","checkout analytics growth frontend backend",Growth Pack
Lifecycle nudge queue to visible inbox,Task,Highest,To Do,Backend + Frontend,1.5d,"Surface lifecycle-generated activities with clear CTA actions in Activity feed/detail. Acceptance: Lifecycle activities are visible and actionable; no raw snake_case shown to users.","lifecycle activity nudges backend frontend",Growth Pack
Pricing/entitlement consistency audit,Task,Highest,To Do,Product + Backend,1.5d,"Unify pricing and entitlement copy across app surfaces and validate overlap/grace states. Acceptance: No conflicting pricing copy; Starter->Family and Family->Starter states render correctly in Settings.","pricing entitlements copy product backend",Growth Pack
Fund details completeness in settings,Task,Highest,To Do,Frontend,1d,"Extend fund snapshot with recency fields strategy and coverage status plus empty-state guidance. Acceptance: Each fund card shows ownership and status without dashboard navigation.","funds settings ux frontend",Growth Pack
Admin lifecycle signal cards and drill links,Task,Highest,To Do,Admin Frontend + Backend,1d,"Add drill actions from lifecycle cards to relevant filtered admin views. Acceptance: Each lifecycle card links to a useful filtered context view.","admin lifecycle growth frontend backend",Growth Pack
Thank-you conversion loop scoring,Task,High,To Do,Product + Backend,1d,"Track thank-you action within seven days and expose trend in admin. Acceptance: Admin shows thank-you conversion and 7-day trend.","thank-you growth analytics product backend",Growth Pack
Share-after-gift prompt optimization,Task,High,To Do,Growth + Frontend,1d,"Run post-gift CTA variant test and measure CTR plus downstream checkout starts. Acceptance: Variant reporting exists and one winner is selected after threshold sample.","growth experiments share frontend",Growth Pack
Event monetization decision clarity,Task,High,To Do,Product + Frontend,1d,"Improve Event Boost vs Starter vs Family decision clarity and usage path. Acceptance: Multi-fund users understand best purchase path; support confusion decreases.","monetization events pricing product frontend",Growth Pack
Unit economics trend panel,Task,High,To Do,Backend + Admin Frontend,1.25d,"Add 30-day trends for revenue estimated store fees and contribution margin with confidence labels. Acceptance: Admin shows trend direction and confidence not only point-in-time values.","admin unit-economics revenue backend frontend",Growth Pack
Retention reactivation outcomes,Task,High,To Do,Growth + Data,1d,"Track and report recovery conversion for no_gift_14d lifecycle signals. Acceptance: Admin shows reactivation recovery rate and sample count by channel where available.","retention lifecycle data growth",Growth Pack
Activity reliability hardening,Task,High,To Do,Backend,1d,"Make activity enrichment resilient and prevent hard failures from relational gaps. Acceptance: Activity page remains functional with partial or missing relational data.","activity reliability backend",Growth Pack
Outbound lifecycle worker,Task,Medium,To Do,Backend + Ops,2d,"Build idempotent lifecycle nudge email worker with cooldown and suppression logic. Acceptance: Email nudges send once per cooldown window with safe retry/failure logs.","lifecycle email ops backend",Growth Pack
Fund health score,Task,Medium,To Do,Data + Admin Frontend,1.5d,"Compute and expose per-fund A/B/C health score with rationale drill-down. Acceptance: Admin fund table shows health score with explainable rationale.","fund-health admin data frontend",Growth Pack
Distribution source attribution model,Task,Medium,To Do,Growth + Backend,1.5d,"Normalize source taxonomy and attribute fund creation plus first gift by source. Acceptance: Admin reports paid vs non-paid source contribution to first gifts and AFRG.","attribution growth backend data",Growth Pack
Guided Launch adaptive assistant,Task,Medium,To Do,Product + Frontend,1.5d,"Adapt Guided Launch CTA copy by incomplete step and lifecycle state with resume behavior. Acceptance: Guided Launch completion lifts measurably vs baseline.","guided-launch onboarding ux product frontend",Growth Pack
Weekly auto scorecard export,Task,Medium,To Do,Data + Ops,1.25d,"Automate weekly KPI scorecard artifact generation without manual SQL pulls. Acceptance: Weekly scorecard is generated automatically as CSV or JSON artifact.","scorecard automation data ops",Growth Pack
