title,description,priority,state,assignee,estimate,sprint,labels
First-session funnel timestamps,"Add and standardize fund and checkout funnel events with timestamp metadata for share/gift velocity metrics. Acceptance: New cohorts show valid median time_to_first_share and time_to_first_gift; no null fundId for fund-origin funnel events in normal flow.",1,Todo,Backend + Data,1.5,Growth Pack,"growth,analytics,funnel,backend,data"
Guided Launch completion telemetry,"Emit step completion telemetry from Guided Launch and track 48h completion metric. Acceptance: Admin can report Guided Launch step drop-off and completion within 48h.",1,Todo,Frontend,1,Growth Pack,"growth,onboarding,telemetry,frontend"
Checkout friction diagnostics by step,"Track checkout step markers and abandonment before session creation. Acceptance: Admin diagnostics include step-level drop-offs and top abandonment step.",1,Todo,Frontend + Backend,1,Growth Pack,"checkout,analytics,growth,frontend,backend"
Lifecycle nudge queue to visible inbox,"Surface lifecycle-generated activities with clear CTA actions in Activity feed/detail. Acceptance: Lifecycle activities are visible and actionable; no raw snake_case shown to users.",1,Todo,Backend + Frontend,1.5,Growth Pack,"lifecycle,activity,nudges,backend,frontend"
Pricing/entitlement consistency audit,"Unify pricing and entitlement copy across app surfaces and validate overlap/grace states. Acceptance: No conflicting pricing copy; Starter->Family and Family->Starter states render correctly in Settings.",1,Todo,Product + Backend,1.5,Growth Pack,"pricing,entitlements,copy,product,backend"
Fund details completeness in settings,"Extend fund snapshot with recency fields strategy and coverage status plus empty-state guidance. Acceptance: Each fund card shows ownership and status without dashboard navigation.",1,Todo,Frontend,1,Growth Pack,"funds,settings,ux,frontend"
Admin lifecycle signal cards and drill links,"Add drill actions from lifecycle cards to relevant filtered admin views. Acceptance: Each lifecycle card links to a useful filtered context view.",1,Todo,Admin Frontend + Backend,1,Growth Pack,"admin,lifecycle,growth,frontend,backend"
Thank-you conversion loop scoring,"Track thank-you action within seven days and expose trend in admin. Acceptance: Admin shows thank-you conversion and 7-day trend.",2,Todo,Product + Backend,1,Growth Pack,"thank-you,growth,analytics,product,backend"
Share-after-gift prompt optimization,"Run post-gift CTA variant test and measure CTR plus downstream checkout starts. Acceptance: Variant reporting exists and one winner is selected after threshold sample.",2,Todo,Growth + Frontend,1,Growth Pack,"growth,experiments,share,frontend"
Event monetization decision clarity,"Improve Event Boost vs Starter vs Family decision clarity and usage path. Acceptance: Multi-fund users understand best purchase path; support confusion decreases.",2,Todo,Product + Frontend,1,Growth Pack,"monetization,events,pricing,product,frontend"
Unit economics trend panel,"Add 30-day trends for revenue estimated store fees and contribution margin with confidence labels. Acceptance: Admin shows trend direction and confidence not only point-in-time values.",2,Todo,Backend + Admin Frontend,1.25,Growth Pack,"admin,unit-economics,revenue,backend,frontend"
Retention reactivation outcomes,"Track and report recovery conversion for no_gift_14d lifecycle signals. Acceptance: Admin shows reactivation recovery rate and sample count by channel where available.",2,Todo,Growth + Data,1,Growth Pack,"retention,lifecycle,data,growth"
Activity reliability hardening,"Make activity enrichment resilient and prevent hard failures from relational gaps. Acceptance: Activity page remains functional with partial or missing relational data.",2,Todo,Backend,1,Growth Pack,"activity,reliability,backend"
Outbound lifecycle worker,"Build idempotent lifecycle nudge email worker with cooldown and suppression logic. Acceptance: Email nudges send once per cooldown window with safe retry/failure logs.",3,Todo,Backend + Ops,2,Growth Pack,"lifecycle,email,ops,backend"
Fund health score,"Compute and expose per-fund A/B/C health score with rationale drill-down. Acceptance: Admin fund table shows health score with explainable rationale.",3,Todo,Data + Admin Frontend,1.5,Growth Pack,"fund-health,admin,data,frontend"
Distribution source attribution model,"Normalize source taxonomy and attribute fund creation plus first gift by source. Acceptance: Admin reports paid vs non-paid source contribution to first gifts and AFRG.",3,Todo,Growth + Backend,1.5,Growth Pack,"attribution,growth,backend,data"
Guided Launch adaptive assistant,"Adapt Guided Launch CTA copy by incomplete step and lifecycle state with resume behavior. Acceptance: Guided Launch completion lifts measurably vs baseline.",3,Todo,Product + Frontend,1.5,Growth Pack,"guided-launch,onboarding,ux,product,frontend"
Weekly auto scorecard export,"Automate weekly KPI scorecard artifact generation without manual SQL pulls. Acceptance: Weekly scorecard is generated automatically as CSV or JSON artifact.",3,Todo,Data + Ops,1.25,Growth Pack,"scorecard,automation,data,ops"
