"title","description","priority","state","assignee","estimate","sprint","labels"
"Gift webhook idempotency hardening","Prevent duplicate gift inserts and duplicate state transitions on Stripe retries by enforcing uniqueness and safe replay handling. Acceptance: Replaying same webhook event does not change totals; replay test passes on local fixture.","1","Todo","Backend","1.5","Week 1","backend,stripe,webhooks,idempotency"
"Gift state transition guardrails","Enforce valid lifecycle transitions only and block invalid transitions with structured errors. Acceptance: Invalid transitions are blocked; admin override leaves traceable audit row.","1","Todo","Backend","1","Week 1","backend,gifts,lifecycle"
"Admin integrity card data completeness","Remove empty integrity states and always return deterministic diagnostics structure. Acceptance: Integrity section always renders with deterministic structure; empty-db case is informative and non-breaking.","1","Todo","Backend + Frontend","1.5","Week 1","admin,integrity,frontend,backend"
"Funnel instrumentation baseline","Capture first-touch to first-gift event chain with normalized payload contracts. Acceptance: Sample session shows expected event sequence; admin/growth endpoint reads counts by 7-day window.","2","Todo","Frontend + Growth","1","Week 1","analytics,growth,instrumentation"
"Checkout validation hard stop (email + inputs)","Prevent avoidable Stripe 400 errors by validating email and required checkout fields before API call. Acceptance: Invalid email never reaches checkout endpoint; user sees actionable inline error.","2","Todo","Frontend","0.5","Week 1","checkout,frontend,validation,stripe"
"Mobile CTA crowding pass","Improve small-screen action layout and tap ergonomics for core action clusters. Acceptance: No overlapping/cutoff labels on mobile widths; tap targets meet minimum size expectation.","2","Todo","Frontend","1","Week 1","mobile,ux,frontend"
"Admin crash guard pass","Add resilient loading and error boundaries per admin tab and prevent hook-order regressions. Acceptance: No nominal-path tab crashes; error states recover via refresh/retry.","1","Todo","Frontend","1","Week 1","admin,frontend,reliability"
"Baseline smoke script update","Extend smoke routine to cover gift checkout, webhook processing, memory linkage, and admin integrity endpoint. Acceptance: Single command verifies core gift pipeline basics before release.","2","Todo","Backend + QA","0.5","Week 1","qa,smoke,backend,ops"
"Checkout error taxonomy and instrumentation","Make checkout failures measurable by normalizing reason codes and emitting checkout_error events. Acceptance: Every checkout failure has a reason code; admin shows ranked error causes for last 7 days.","1","Todo","Frontend + Backend","1","Week 2","checkout,analytics,frontend,backend"
"Checkout mobile layout optimization","Reduce mobile drop-off by improving spacing, stacking, and CTA visibility. Acceptance: No clipped content or overlapping controls on tested widths; mobile completion improves from Week 1 baseline.","2","Todo","Frontend","1","Week 2","checkout,mobile,ux,frontend"
