"Summary","Issue Type","Priority","Status","Assignee","Original Estimate","Description","Labels","Sprint"
"Gift webhook idempotency hardening","Task","Highest","To Do","Backend","1.5d","Prevent duplicate gift inserts and duplicate state transitions on Stripe retries by enforcing uniqueness and safe replay handling. Acceptance: Replaying same webhook event does not change totals; replay test passes on local fixture.","backend stripe webhooks idempotency","Week 1"
"Gift state transition guardrails","Task","Highest","To Do","Backend","1d","Enforce valid lifecycle transitions only and block invalid transitions with structured errors. Acceptance: Invalid transitions are blocked; admin override leaves traceable audit row.","backend gifts lifecycle","Week 1"
"Admin integrity card data completeness","Task","Highest","To Do","Backend + Frontend","1.5d","Remove empty integrity states and always return deterministic diagnostics structure. Acceptance: Integrity section always renders with deterministic structure; empty-db case is informative and non-breaking.","admin integrity frontend backend","Week 1"
"Funnel instrumentation baseline","Task","High","To Do","Frontend + Growth","1d","Capture first-touch to first-gift event chain with normalized payload contracts. Acceptance: Sample session shows expected event sequence; admin/growth endpoint reads counts by 7-day window.","analytics growth instrumentation","Week 1"
"Checkout validation hard stop (email + inputs)","Task","High","To Do","Frontend","0.5d","Prevent avoidable Stripe 400 errors by validating email and required checkout fields before API call. Acceptance: Invalid email never reaches checkout endpoint; user sees actionable inline error.","checkout frontend validation stripe","Week 1"
"Mobile CTA crowding pass","Task","High","To Do","Frontend","1d","Improve small-screen action layout and tap ergonomics for core action clusters. Acceptance: No overlapping/cutoff labels on mobile widths; tap targets meet minimum size expectation.","mobile ux frontend","Week 1"
"Admin crash guard pass","Task","Highest","To Do","Frontend","1d","Add resilient loading and error boundaries per admin tab and prevent hook-order regressions. Acceptance: No nominal-path tab crashes; error states recover via refresh/retry.","admin frontend reliability","Week 1"
"Baseline smoke script update","Task","High","To Do","Backend + QA","0.5d","Extend smoke routine to cover gift checkout, webhook processing, memory linkage, and admin integrity endpoint. Acceptance: Single command verifies core gift pipeline basics before release.","qa smoke backend ops","Week 1"
"Checkout error taxonomy and instrumentation","Task","Highest","To Do","Frontend + Backend","1d","Make checkout failures measurable by normalizing reason codes and emitting checkout_error events. Acceptance: Every checkout failure has a reason code; admin shows ranked error causes for last 7 days.","checkout analytics frontend backend","Week 2"
"Checkout mobile layout optimization","Task","High","To Do","Frontend","1d","Reduce mobile drop-off by improving spacing, stacking, and CTA visibility. Acceptance: No clipped content or overlapping controls on tested widths; mobile completion improves from Week 1 baseline.","checkout mobile ux frontend","Week 2"
"Fee breakdown readability pass","Task","High","To Do","Frontend","0.75d","Improve confidence and comprehension in pricing summary with clearer label hierarchy. Acceptance: Users identify net amount quickly in usability pass; no terminology mismatch between checkout and admin.","fees checkout ux frontend","Week 2"
"Projection copy and assumption consistency audit","Task","High","To Do","Frontend + Product","0.5d","Ensure scenario-based return language and assumption controls are consistent across surfaces. Acceptance: No fixed-return language remains; assumption help text matches across pages.","projection copy frontend product","Week 2"
